geneId	GO_id
B9J08_000087	GO:0005829
B9J08_000087	GO:0031261
B9J08_000087	GO:0031298
B9J08_000087	GO:0042555
B9J08_000087	GO:0003678
B9J08_000087	GO:0003682
B9J08_000087	GO:0003688
B9J08_000087	GO:0003697
B9J08_000087	GO:0005524
B9J08_000087	GO:0000727
B9J08_000087	GO:0006267
B9J08_000087	GO:0006270
B9J08_000087	GO:0006343
B9J08_000087	GO:0006348
B9J08_000087	GO:0030174
B9J08_000087	GO:0031939
B9J08_000087	GO:0032508
B9J08_000087	GO:0051097
B9J08_000087	GO:0051301
B9J08_000088	GO:0005737
B9J08_000088	GO:0005844
B9J08_000088	GO:0016272
B9J08_000088	GO:0015631
B9J08_000088	GO:0006457
B9J08_000088	GO:0007021
B9J08_000089	GO:0016021
B9J08_000089	GO:0044695
B9J08_000089	GO:0030447
B9J08_000090	GO:0005840
B9J08_000090	GO:0003735
B9J08_000090	GO:0006412
B9J08_000091	GO:0022627
B9J08_000091	GO:0003735
B9J08_000091	GO:0000028
B9J08_000091	GO:0006412
B9J08_000093	GO:0005739
B9J08_000093	GO:0016021
B9J08_000093	GO:0005509
B9J08_000093	GO:0055085
B9J08_000094	GO:0032389
B9J08_000094	GO:0005524
B9J08_000094	GO:0016887
B9J08_000094	GO:0030983
B9J08_000094	GO:0000710
B9J08_000095	GO:0005634
B9J08_000095	GO:0000981
B9J08_000095	GO:0008270
B9J08_000095	GO:0006357
B9J08_000096	GO:0005634
B9J08_000096	GO:0000981
B9J08_000096	GO:0008270
B9J08_000096	GO:0006357
B9J08_000098	GO:0005741
B9J08_000098	GO:0005770
B9J08_000098	GO:0005829
B9J08_000098	GO:0003924
B9J08_000098	GO:0005525
B9J08_000098	GO:0000011
B9J08_000098	GO:0006623
B9J08_000098	GO:0006895
B9J08_000098	GO:0006897
B9J08_000098	GO:0007038
B9J08_000098	GO:0007264
B9J08_000098	GO:0009405
B9J08_000098	GO:0032511
B9J08_000098	GO:0036010
